BRIDGE NAME,EASTING,NORTHING,OWNER
RAMSLEY DRY,264937,93045,Devon County Council
RAMSLEY WET,264907,93055,Devon County Council
STICKLEPATH,264354,94027,Devon County Council
FATHERFORD RAILWAY,260445,95346,Devon County Council
EAST STREET OKEHAMPTON,258873,95244,Devon County Council
WEST STREET OKEHAMPTON,258673,95153,Devon County Council
FOWLEY,256577,93621,Devon County Council
TOWN FARM UNDERBRIDGE,251206,89515,Devon County Council
RIVER LEW,251150,89476,Devon County Council
STONE FARM UNDERPASS,250693,89044,Devon County Council
COMBEBOW,248531,87929,Devon County Council
TINHAY NEW,239270,85146,Devon County Council
GREAT TREE CULVERT,270347,90304,Devon County Council
DOGMARSH BRIDGE,271300,89325,Devon County Council
SOUTHERLY RAILWAY,252643,87646,Devon County Council
CRANDFORD,252592,87996,Devon County Council
LAKE,252797,88816,Devon County Council
LODGE BRIDGE,258635,95370,Devon County Council
PUDSON BRIDGE,257510,96121,Devon County Council
LAMERTON,257023,99670,Devon County Council
LONGHAM BRIDGE,254252,103823,Devon County Council
HELE BRIDGE,254012,106322,Devon County Council
HOLSWORTHY BRIDGE(HATHERLEIGH),251311,103392,Devon County Council
HATHERLEIGH BRIDGE,254060,104172,Devon County Council
JACOBSTOWE MILL LEAT,259160,101760,Devon County Council
JACOBSTOWE BRIDGE,259253,101731,Devon County Council
HOLEBROOK BRIDGE,260731,101659,Devon County Council
SAMPFORD COURTENAY CULVERT,263353,100877,Devon County Council
SAMPFORD COURTENAY BRIDGE,263368,100871,Devon County Council
NEWLAND BRIDGE,265880,100400,Devon County Council
NEWLAND MILL,265952,100446,Devon County Council
SHEPHERDS BRIDGE,268965,101553,Devon County Council
CHICHACOTT BRIDGE,260248,96129,Devon County Council
APPLEDORE BRIDGE,261443,97758,Devon County Council
BECKAMOOR BRIDGE,258120,101897,Devon County Council
BRIGHTLY MILL CULVERT,259710,97088,Devon County Council
PIXTON CROSS,257377,107689,Devon County Council
HANCOCKS,257821,105909,Devon County Council
SHILLEY BRIDGE,258284,105588,Devon County Council
STOCK BRIDGE,260589,98912,Devon County Council
MADDAFORD MOOR RAILWAY,253301,94052,Devon County Council
BRIDESTOWE (EAST) BRIDGE,251403,89455,Devon County Council
BRIDESTOWE (WEST) BRIDGE,251355,89320,Devon County Council
ALLERFORD,242131,85624,Devon County Council
ASH,267783,90578,Devon County Council
BATWORTHY BRIDGE,266195,86561,Devon County Council
BEETOR BRIDGE,270852,85065,Devon County Council
BLACKATON (EAST),267710,88823,Devon County Council
BLACKATON (WEST),267691,88817,Devon County Council
BLACKHILL BEAWORTHY,245782,100000,Devon County Council
BRATTON MILL BRIDGE,246757,92010,Devon County Council
CHAGFORD BRIDGE,269366,87952,Devon County Council
CHAGFORD CATTLE CREEP,269381,87924,Devon County Council
CHAGFORD GASWORKS BRIDGE,269483,87784,Devon County Council
CHAGFORD FACTORY LEAT,269409,87833,Devon County Council
CHILLATON BRIDGE,243431,81991,Devon County Council
CORYTON STATION BRIDGE,244387,83240,Devon County Council
CRANNAFORD BRIDGE,271125,88461,Devon County Council
CULLAFORD,268775,97218,Devon County Council
EAST CHAPPLE,267245,88999,Devon County Council
EAST FINGLE,274271,91421,Devon County Council
ENSWORTHY,265905,89813,Devon County Council
FORD,272209,91808,Devon County Council
GIDLEIGH MILL,267460,88787,Devon County Council
GORHUISH,253144,98685,Devon County Council
GREENDOWN LEVEL,249007,99721,Devon County Council
GRIBBLEFORD,252659,101305,Devon County Council
HAM,258337,105471,Devon County Council
HAYES COTTAGE BRIDGE (NIAS),258884,101096,Devon County Council
HAYNE BRIDGE,241694,86717,Devon County Council
HEADSON,245231,91038,Devon County Council
HEALE,235977,86304,Devon County Council
HIGHER CHILLATON,243256,81856,Devon County Council
